area1,area2,area3,district,floor,total_floors,building_type,year,price,rooms_count,new_build
74.9,41.0,10.0,Нижегородский район,2,6,кирпич,2003,9699000,3.0,0
30.3,16.3,5.6,Ленинский район,1,5,кирпич,1963,4200000,1.0,0
60.8,46.6,5.8,Приокский район,4,5,панель,1970,7900000,3.0,0
42.7,31.0,6.0,Автозаводский район,2,5,кирпич,1962,5100000,2.0,0
60.3,43.8,7.1,Московский район,3,9,панель,1982,7549999,3.0,0
45.0,27.0,8.0,Автозаводский район,9,9,панель,1976,5600000,2.0,0
42.5,28.2,6.0,Советский район,2,5,кирпич,1959,7350000,2.0,0
44.4,16.27,15.53,Советский район,4,19,панель,2026,9990000,1.0,1
68.7,34.6,15.1,Другой,9,19,монолитный железобетон,2026,8037900,1.0,1
44.5,26.0,8.9,Другой,2,3,монолитный железобетон,2024,3900000,2.0,1
52.0,29.7,11.0,Другой,2,2,панель,1991,5550000,2.0,0
39.0,18.5,10.7,Канавинский район,12,12,кирпич,2015,7250000,1.0,0
96.1,41.7,10.0,Советский район,6,6,кирпич,1970,5990000,3.0,0
46.7,26.8,8.6,Автозаводский район,9,10,панель,2022,6380000,2.0,0
36.0,10.13,17.46,Советский район,1,19,панель,2026,8964000,1.0,1
37.5,16.0,15.0,Сормовский район,12,18,блок+утеплитель,2023,5790000,1.0,0
67.0,42.7,9.1,Приокский район,1,9,панель,1991,7300000,3.0,0
54.0,27.6,9.9,Другой,3,3,монолитный железобетон,2015,7150000,2.0,0
58.1,42.2,5.3,Другой,4,5,кирпич,1964,4950000,3.0,0
63.3,38.1,9.3,Нижегородский район,2,9,панель,1984,7600000,3.0,0
56.0,24.0,12.5,Другой,12,19,панель,2019,7800000,2.0,0
59.0,36.0,12.0,Другой,1,3,кирпич,1953,3800000,2.0,0
36.1,17.9,9.2,Автозаводский район,1,9,кирпич,1988,4000000,1.0,0
60.0,30.0,16.0,Другой,19,25,монолитный железобетон,2026,8080200,1.0,1
42.8,28.3,5.7,Автозаводский район,3,5,панель,1967,4650000,2.0,0
38.0,11.24,16.59,Ленинский район,21,25,кирпич,1935,7100000,1.0,0
25.5,16.1,1.0,Советский район,8,18,блок+утеплитель,2022,5100000,0.5,0
44.61,18.29,11.14,Приокский район,9,18,кирпич,2017,9800000,1.0,0
21.9,7.8,6.0,Другой,9,19,монолитный железобетон,2026,3788897,1.0,1
66.7,31.3,13.3,Нижегородский район,5,17,блок+утеплитель,2011,8990000,2.0,0
51.6,35.1,6.0,Советский район,2,5,кирпич,1974,5980000,3.0,0
52.0,36.0,6.0,Другой,5,5,панель,1969,5490000,2.0,0
48.2,20.5,12.1,Другой,7,26,блок+утеплитель,2024,6749976,2.0,1
27.2,17.0,7.0,Нижегородский район,2,6,панель,2025,6300010,1.0,1
84.3,38.8,22.2,Другой,24,25,монолитный железобетон,2024,8345700,3.0,1
35.8,17.5,8.6,Нижегородский район,5,8,панель,1993,5980000,1.0,0
63.0,38.2,9.3,Ленинский район,3,9,панель,1987,9100000,3.0,0
62.6,39.3,8.1,Автозаводский район,2,9,кирпич,1980,9700000,3.0,0
67.3,39.7,14.1,Автозаводский район,3,4,кирпич,1930,6250000,2.0,0
61.0,42.0,7.0,Автозаводский район,1,9,панель,1981,5500000,3.0,0
46.6,27.0,7.5,Другой,3,5,кирпич,1951,6499000,2.0,0
59.0,35.0,9.0,Другой,1,12,кирпич,2000,6250000,2.0,0
59.2,25.7,17.6,Другой,17,25,панель,2024,6630400,2.0,1
45.2,19.5,10.0,Приокский район,8,17,блок+утеплитель,2016,7830000,1.0,0
60.3,31.2,16.3,Другой,24,25,панель,2025,8019900,2.0,1
56.0,38.0,6.0,Канавинский район,3,4,кирпич,1934,5650000,3.0,0
40.71,14.5,17.23,Советский район,8,19,панель,2026,9159750,1.0,1
44.8,16.9,15.44,Другой,9,12,монолитный железобетон,2024,6300000,1.0,1
60.0,43.1,7.0,Автозаводский район,7,9,панель,1985,6020000,3.0,0
30.7,16.0,6.1,Автозаводский район,10,10,блок+утеплитель,2011,4200000,1.0,0
32.2,18.5,6.0,Канавинский район,1,5,кирпич,1962,4750000,1.0,0
39.5,15.0,9.5,Автозаводский район,1,5,кирпич,1930,5490000,1.0,0
48.1,30.0,5.6,Другой,4,5,кирпич,1976,3600000,2.0,0
51.4,31.0,9.5,Другой,5,5,кирпич,1993,3200000,2.0,0
30.0,19.0,6.0,Автозаводский район,2,5,кирпич,1962,4270000,1.0,0
36.7,17.4,9.0,Автозаводский район,7,9,кирпич,1988,4150000,1.0,0
47.0,33.7,5.6,Другой,4,5,панель,1971,4320000,3.0,0
66.1,42.2,12.0,Ленинский район,9,9,кирпич,1980,7500000,3.0,0
58.9,34.8,8.0,Другой,2,2,панель,1991,2300000,2.0,0
82.5,38.3,21.9,Другой,14,25,панель,2024,9322500,3.0,1
45.7,27.7,7.0,Московский район,6,9,панель,1978,5300000,2.0,0
37.9,27.2,4.8,Ленинский район,3,3,кирпич,1961,3849999,2.0,0
47.2,30.7,5.2,Московский район,2,5,панель,1961,5400000,2.0,0
43.9,28.7,5.9,Другой,3,4,кирпич,1966,2949999,2.0,0
33.0,17.5,4.0,Другой,1,5,кирпич,1967,3570000,1.0,0
54.3,15.1,15.7,Другой,4,25,панель,2023,7167600,2.0,0
87.0,50.0,10.0,Другой,1,1,кирпич,1980,6000000,4.0,0
42.9,28.0,6.0,Нижегородский район,5,5,кирпич,1961,7550000,2.0,0
63.0,44.0,7.1,Канавинский район,9,9,панель,1970,7295000,3.0,0
29.9,23.9,6.0,Ленинский район,1,3,кирпич,1931,3090000,1.0,0
25.2,6.9,1.0,Другой,16,25,монолитный железобетон,2025,4258800,0.5,1
75.5,42.9,9.5,Приокский район,6,12,кирпич,1987,8800000,3.0,0
29.9,18.0,6.1,Автозаводский район,2,2,шлакоблок,1948,2999000,1.0,0
44.5,21.4,9.8,Нижегородский район,4,17,блок+утеплитель,2008,7450000,1.0,0
31.5,17.8,5.9,Ленинский район,3,5,кирпич,1962,4500000,1.0,0
30.9,18.7,5.5,Московский район,1,5,панель,1969,3620000,1.0,0
54.4,30.5,8.4,Нижегородский район,7,9,панель,2005,9540000,2.0,0
43.6,27.8,7.2,Приокский район,9,9,панель,1977,6300000,2.0,0
45.0,19.0,12.0,Другой,3,9,кирпич,1971,5300000,1.0,0
