area1,area2,area3,district,floor,total_floors,building_type,year,price,rooms_count,new_build
65.1,38.0,9.3,Советский район,1,9,панель,1988,6950000,3.0,0
31.3,18.3,5.6,Московский район,1,5,панель,1962,3100000,1.0,0
38.0,22.3,5.8,Нижегородский район,8,9,панель,1980,6000000,2.0,0
61.0,35.0,7.0,Приокский район,1,6,кирпич,1939,7350000,3.0,0
44.0,28.4,5.7,Нижегородский район,5,5,кирпич,1974,5750000,2.0,0
45.2,20.32,13.31,Советский район,16,17,блок+утеплитель,2025,8710000,1.0,1
46.3,18.2,12.0,Нижегородский район,2,10,кирпич,2007,7250000,1.0,0
49.7,27.8,8.3,Сормовский район,2,9,кирпич,1993,5890000,2.0,0
45.1,31.0,6.0,Автозаводский район,5,5,кирпич,1972,4300000,2.0,0
46.6,33.1,6.0,Автозаводский район,3,5,панель,1967,5300000,2.0,0
41.9,11.7,1.0,Автозаводский район,4,8,блок+утеплитель,2026,6997300,1.0,1
70.5,42.0,14.4,Автозаводский район,1,10,панель,2010,8500000,3.0,0
50.49,22.28,15.16,Советский район,11,17,блок+утеплитель,2025,8560000,1.0,1
32.1,16.4,8.5,Автозаводский район,9,10,панель,2020,5300000,1.0,0
31.3,16.0,9.0,Автозаводский район,2,10,блок+утеплитель,2011,4700000,1.0,0
34.1,16.2,7.8,Ленинский район,4,23,блок+утеплитель,2018,6500000,1.0,0
55.7,32.2,8.5,Приокский район,3,5,кирпич,1958,6900000,2.0,0
36.0,18.0,9.0,Автозаводский район,9,9,кирпич,1986,4300000,1.0,0
33.0,20.0,6.0,Автозаводский район,3,5,панель,1963,4300000,1.0,0
37.0,18.6,9.3,Другой,8,9,панель,1991,5200000,1.0,0
46.6,13.3,1.0,Автозаводский район,5,8,блок+утеплитель,2026,7782200,1.0,1
85.5,55.3,9.1,Автозаводский район,5,9,панель,1982,9450000,4.0,0
40.7,21.5,9.8,Нижегородский район,11,17,блок+утеплитель,2010,7150000,1.0,0
42.6,30.0,5.2,Московский район,6,6,кирпич,1966,3750000,2.0,0
34.4,18.0,10.0,Другой,3,3,блок+утеплитель,2014,4200000,1.0,0
52.6,29.8,8.5,Автозаводский район,1,10,панель,1999,5700000,2.0,0
31.5,18.9,5.4,Советский район,5,5,панель,1966,4500000,1.0,0
34.5,17.2,10.4,Сормовский район,4,9,панель,1975,4999999,1.0,0
57.4,39.9,7.0,Автозаводский район,6,9,панель,1971,6600000,3.0,0
29.4,17.5,5.9,Другой,1,4,кирпич,1971,2600000,1.0,0
62.0,44.0,7.2,Сормовский район,8,9,панель,1968,6900000,3.0,0
45.4,29.7,6.0,Нижегородский район,5,5,кирпич,1972,7400000,2.0,0
40.0,27.0,5.6,Ленинский район,2,5,кирпич,1961,4600000,2.0,0
46.7,29.3,6.0,Приокский район,1,5,кирпич,1971,5000000,2.0,0
26.0,18.0,6.0,Канавинский район,5,5,кирпич,1961,4400000,1.0,0
48.9,33.8,6.0,Сормовский район,4,5,панель,1974,4950000,3.0,0
41.1,26.7,6.0,Советский район,3,9,кирпич,1975,7950000,2.0,0
54.5,38.0,7.0,Сормовский район,3,9,панель,1978,5200000,3.0,0
40.0,23.1,6.0,Сормовский район,5,5,панель,1972,4500000,2.0,0
35.6,17.1,15.6,Другой,1,2,кирпич,1940,1800000,1.0,0
47.7,30.9,7.1,Автозаводский район,6,9,панель,1971,4750000,2.0,0
79.0,55.0,13.0,Сормовский район,5,9,панель,1977,8900000,4.0,0
100.9,61.4,10.0,Сормовский район,1,5,кирпич,1995,8100000,4.0,0
32.0,19.2,5.6,Московский район,1,4,кирпич,1961,3700000,1.0,0
63.3,43.4,7.1,Сормовский район,9,9,панель,1973,6100000,3.0,0
43.0,35.0,7.0,Канавинский район,4,5,кирпич,1962,6500000,2.0,0
40.0,27.0,6.0,Автозаводский район,1,5,кирпич,1966,5100000,2.0,0
49.0,30.0,7.3,Сормовский район,4,5,кирпич,1985,4500000,2.0,0
38.7,21.8,10.1,Другой,2,3,кирпич,2023,3500000,1.0,0
50.9,34.4,6.0,Московский район,3,5,панель,1979,4350000,2.0,0
49.9,35.0,6.0,Другой,5,5,кирпич,1971,4500000,2.0,0
49.7,29.0,9.0,Другой,3,9,панель,1991,6700000,2.0,0
62.5,46.5,6.0,Другой,3,5,панель,1991,4700000,3.0,0
42.7,32.0,6.0,Другой,1,3,кирпич,1960,4100000,2.0,0
64.2,43.6,7.6,Другой,2,4,кирпич,1957,5100000,3.0,0
46.3,29.4,6.2,Другой,3,5,панель,1991,5200000,2.0,0
31.2,12.3,8.4,Другой,4,4,блок+утеплитель,2018,3600000,1.0,0
40.0,26.0,6.0,Другой,5,5,кирпич,1968,3050000,2.0,0
45.5,24.5,10.9,Другой,3,5,панель,1978,6300000,1.0,0
49.4,34.1,5.9,Другой,2,5,панель,1991,4500000,3.0,0
44.7,29.0,7.0,Другой,3,5,кирпич,1971,2200000,2.0,0
41.4,23.9,5.6,Нижегородский район,3,3,кирпич,1971,3600000,2.0,0
54.5,39.0,6.0,Советский район,3,5,кирпич,1965,6300000,3.0,0
52.0,38.0,8.2,Нижегородский район,3,3,кирпич,1959,6600000,3.0,0
67.8,38.6,9.4,Канавинский район,2,9,панель,1982,7200000,3.0,0
57.8,39.7,7.0,Канавинский район,9,9,панель,1979,7400000,3.0,0
31.5,15.0,10.0,Другой,2,3,блок+утеплитель,2019,3500000,1.0,0
20.0,12.0,4.8,Автозаводский район,1,9,кирпич,1987,2600000,1.0,0
47.0,28.0,8.0,Канавинский район,8,9,панель,1982,5800000,2.0,0
44.0,18.0,11.0,Советский район,8,10,блок+утеплитель,2022,6750000,1.0,0
46.0,31.0,6.0,Другой,2,5,панель,1969,4300000,2.0,0
54.0,36.0,7.0,Другой,2,3,кирпич,1952,4150000,2.0,0
57.6,39.0,7.0,Другой,1,9,кирпич,1974,4900000,3.0,0
31.5,16.0,8.0,Другой,4,5,панель,1983,2999999,1.0,0
58.6,43.0,6.0,Другой,3,5,панель,1981,4270000,4.0,0
59.0,45.0,6.0,Другой,1,5,панель,1968,5200000,3.0,0
44.0,31.0,6.0,Другой,5,5,кирпич,1967,3790000,2.0,0
41.0,30.0,5.0,Другой,1,3,кирпич,1959,3590000,2.0,0
41.4,28.5,5.4,Канавинский район,4,5,кирпич,1966,4000000,2.0,0
