rooms,area1,area2,area3,district,floor,total_floors,building_type,year,additional_info,price
2,37.0,25.0,5.0,Автозаводский район,2,2,шлакоблок,1958,народн. стр.,3530000
1,31.9,16.3,8.4,Автозаводский район,2,10,панель,2015,undefind,4700000
3,57.4,36.6,7.0,Приокский район,9,9,панель,1991,undefind,6690000
1,30.6,15.8,8.3,Сормовский район,9,10,панель,2018,undefind,4200000
1,29.2,17.4,6.0,Московский район,5,5,кирпич,1958,хрущ.,4900000
1,20.8,11.7,4.7,Московский район,2,9,кирпич,1981,малогабар.,3700000
1,34.6,17.3,8.7,Автозаводский район,1,9,кирпич,1987,undefind,4000000
2,42.6,28.1,5.4,Ленинский район,2,5,панель,1967,брежн.,6000000
1,50.8,16.3,14.4,Советский район,17,22,блок+утеплитель,2023,undefind,9200000
2,30.5,20.9,4.9,Канавинский район,3,5,кирпич,1961,хрущ.,4600000
2,54.2,36.4,9.9,Автозаводский район,5,10,блок+утеплитель,2017,undefind,8500000
1,32.1,16.8,8.0,Канавинский район,9,9,панель,1986,undefind,4500000
3,76.0,46.3,14.4,г. Кстово,5,9,кирпич,2017,undefind,9790000
К,19.0,12.0,1.0,Нижегородский район,4,5,кирпич,1971,хрущ.,3850000
2,45.8,30.3,6.0,Автозаводский район,2,5,панель,1964,брежн.,4300000
2,43.1,29.0,6.2,Канавинский район,2,4,кирпич,1963,хрущ.,4300000
3,46.6,35.7,7.0,Советский район,1,3,кирпич,1960,народн. стр.,4400000
1,36.3,13.0,12.0,Нижегородский район,1,9,блок+утеплитель,2022,undefind,7150000
2,42.2,21.5,8.3,Автозаводский район,8,10,блок+утеплитель,2017,undefind,7550000
2,51.0,34.0,6.0,Автозаводский район,2,5,панель,1975,брежн.,5650000
1,34.8,15.2,8.1,Ленинский район,1,10,панель,1994,undefind,4950000
1,45.1,18.0,10.0,Сормовский район,2,10,панель,2018,undefind,5300000
1,47.6,22.0,14.0,Советский район,10,10,кирпич,2006,undefind,8500000
К,27.5,12.6,0.0,Автозаводский район,1,8,блок+утеплитель,2026,undefind,4675000
3,66.3,38.2,9.3,Канавинский район,3,9,панель,1985,undefind,8000000
3,50.7,35.4,6.0,Московский район,3,5,кирпич,1974,хрущ.,5600000
3,57.2,36.8,7.0,Сормовский район,5,9,панель,1987,undefind,6400000
1,31.8,19.0,5.5,Ленинский район,2,5,панель,1967,брежн.,3990000
2,45.8,32.1,5.7,Сормовский район,3,4,кирпич,1962,хрущ.,5500000
К,25.4,15.4,1.0,Советский район,3,10,блок+утеплитель,2023,undefind,4799000
3,63.0,39.0,8.0,Ленинский район,6,9,панель,1983,undefind,7500000
3,54.8,36.2,5.9,Московский район,1,5,кирпич,1964,хрущ.,5800000
2,57.4,30.55,11.4,Канавинский район,6,9,панель,2023,undefind,6700000
К,29.2,11.1,0.0,Автозаводский район,1,8,блок+утеплитель,2026,undefind,4905600
2,61.0,29.1,11.3,Советский район,2,12,панель,2012,undefind,8700000
2,43.0,31.0,7.0,Автозаводский район,2,9,панель,1989,undefind,6000000
2,43.7,21.8,11.8,Сормовский район,13,17,панель,2018,undefind,5400000
1,32.0,22.0,5.0,Советский район,2,2,кирпич,1959,народн. стр.,3990000
1,33.2,17.1,8.1,Нижегородский район,7,9,панель,1987,undefind,6300000
1,33.0,14.8,8.8,пос. Ждановский,1,5,кирпич,1986,undefind,2800000
2,44.0,24.0,8.7,Московский район,6,9,кирпич,1986,undefind,4700000
1,35.4,16.8,7.0,Автозаводский район,4,9,панель,1975,undefind,4990000
2,49.2,29.6,6.3,Московский район,4,5,кирпич,1973,хрущ.,4950000
К,24.72,14.47,0.0,Советский район,5,17,блок+утеплитель,2025,undefind,5660000
3,52.6,36.4,7.0,Нижегородский район,6,9,панель,1971,undefind,7650000
1,20.7,11.21,4.85,Московский район,8,9,кирпич,1975,малогабар.,3400000
1,20.5,11.2,4.9,Приокский район,9,9,кирпич,1975,малогабар.,3090000
2,43.9,28.2,5.4,Автозаводский район,3,5,кирпич,1959,хрущ.,5250000
1,30.8,18.9,5.6,Ленинский район,2,5,кирпич,1965,хрущ.,4300000
2,48.2,28.7,8.0,Советский район,3,10,кирпич,1991,undefind,7500000
К,20.0,14.0,1.0,Ленинский район,2,2,кирпич,1952,народн. стр.,2050000
2,45.6,27.1,7.7,Автозаводский район,8,9,кирпич,1991,undefind,6000000
1,31.0,18.2,6.1,Приокский район,3,5,кирпич,1969,хрущ.,4999000
3,62.3,37.4,7.7,Автозаводский район,2,9,панель,1987,undefind,5800000
3,65.1,38.0,9.3,Советский район,1,9,панель,1988,undefind,6950000
1,31.3,18.3,5.6,Московский район,1,5,панель,1962,брежн.,3100000
2,38.0,22.3,5.8,Нижегородский район,8,9,панель,1980,undefind,6000000
3,61.0,35.0,7.0,Приокский район,1,6,кирпич,1939,стал.,7350000
2,44.0,28.4,5.7,Нижегородский район,5,5,кирпич,1974,хрущ.,5750000
1,45.2,20.32,13.31,Советский район,16,17,блок+утеплитель,2025,undefind,8710000
1,46.3,18.2,12.0,Нижегородский район,2,10,кирпич,2007,undefind,7250000
2,49.7,27.8,8.3,Сормовский район,2,9,кирпич,1993,undefind,5890000
2,45.1,31.0,6.0,Автозаводский район,5,5,кирпич,1972,хрущ.,4300000
2,46.6,33.1,6.0,Автозаводский район,3,5,панель,1967,брежн.,5300000
1,41.9,11.7,1.0,Автозаводский район,4,8,блок+утеплитель,2026,undefind,6997300
3,70.5,42.0,14.4,Автозаводский район,1,10,панель,2010,undefind,8500000
1,50.49,22.28,15.16,Советский район,11,17,блок+утеплитель,2025,undefind,8560000
1,32.1,16.4,8.5,Автозаводский район,9,10,панель,2020,undefind,5300000
1,31.3,16.0,9.0,Автозаводский район,2,10,блок+утеплитель,2011,undefind,4700000
1,34.1,16.2,7.8,Ленинский район,4,23,блок+утеплитель,2018,undefind,6500000
2,55.7,32.2,8.5,Приокский район,3,5,кирпич,1958,стал.,6900000
1,36.0,18.0,9.0,Автозаводский район,9,9,кирпич,1986,undefind,4300000
1,33.0,20.0,6.0,Автозаводский район,3,5,панель,1963,брежн.,4300000
1,37.0,18.6,9.3,дер. Афонино,8,9,панель,,undefind,5200000
1,46.6,13.3,1.0,Автозаводский район,5,8,блок+утеплитель,2026,undefind,7782200
4,85.5,55.3,9.1,Автозаводский район,5,9,панель,1982,undefind,9450000
1,40.7,21.5,9.8,Нижегородский район,11,17,блок+утеплитель,2010,undefind,7150000
